,date,temp_mean,HR_mean,nonext,cvd,resp,dow,pm10_mean.mean,holidays
1,01/01/2000,-0.277777778,95.5,130,65,13,Thursday,26.95607373,1
2,02/01/2000,0.555555556,88.25,150,73,14,Friday,NA,0
3,03/01/2000,0.555555556,89.5,101,43,11,Saturday,32.83869495,0
4,04/01/2000,-1.666666667,84.5,135,72,7,Sunday,39.95607373,0
5,05/01/2000,0,74.5,126,64,12,Monday,NA,0
6,06/01/2000,4.444444444,77.375,130,63,12,Tuesday,40.95607373,0
7,07/01/2000,1.388888889,74.5,129,72,12,Wednesday,33.95607373,0
8,08/01/2000,-1.666666667,77.875,109,51,13,Thursday,28.95607373,0
9,09/01/2000,-3.055555556,95.125,125,62,7,Friday,32.3487708,0
10,10/01/2000,0.277777778,81.875,153,90,11,Saturday,NA,0
11,11/01/2000,-1.388888889,77.25,124,69,5,Sunday,14.95607374,0
12,12/01/2000,1.388888889,79,111,57,11,Monday,18.95607374,0
13,13/01/2000,1.111111111,74.625,104,50,9,Tuesday,45.95607373,0
14,14/01/2000,3.055555556,94.25,118,54,6,Wednesday,35.95607373,0
15,15/01/2000,0.277777778,75.375,109,54,10,Thursday,26.93720102,0
16,16/01/2000,-3.888888889,80.75,125,60,11,Friday,11.95607374,0
17,17/01/2000,-2.777777778,89.125,128,58,16,Saturday,NA,0
18,18/01/2000,-8.055555556,87.25,141,86,8,Sunday,31.95607373,0
19,19/01/2000,-5,70.375,130,74,12,Monday,24.95607373,0
20,20/01/2000,-6.388888889,72.125,133,71,9,Tuesday,30.95607373,0
21,21/01/2000,-5.555555556,72.75,115,52,10,Wednesday,31.98796517,0
22,22/01/2000,-6.944444444,67.75,121,60,10,Thursday,44.95607373,0
23,23/01/2000,-16.38888889,50,107,47,7,Friday,47.95607373,0
24,24/01/2000,-16.66666667,53.25,123,72,8,Saturday,30.95607373,0
25,25/01/2000,-12.5,47.125,107,43,8,Sunday,NA,0
26,26/01/2000,-8.888888889,61.25,116,67,12,Monday,63.95607373,0
27,27/01/2000,-8.055555556,84.25,130,73,7,Tuesday,36.31814626,0
28,28/01/2000,-1.388888889,71.375,114,55,9,Wednesday,39.95607373,0
29,29/01/2000,-1.388888889,96.5,123,54,8,Thursday,27.95607373,0
30,30/01/2000,0.277777778,68.5,103,50,11,Friday,51.95607373,0
31,31/01/2000,-2.5,76,115,64,5,Saturday,28.95607373,0
32,01/02/2000,5,79.25,127,70,6,Sunday,NA,0
33,02/02/2000,2.5,71.75,131,58,14,Monday,40.2284865,0
34,03/02/2000,1.111111111,79.875,112,55,9,Tuesday,51.95607373,0
35,04/02/2000,-0.277777778,74.625,126,61,6,Wednesday,31.31939761,0
36,05/02/2000,-1.388888889,84.75,127,71,7,Thursday,62.95607373,0
37,06/02/2000,2.777777778,69.75,103,48,5,Friday,55.95607373,0
38,07/02/2000,4.722222222,71.625,128,67,15,Saturday,36.95607373,0
39,08/02/2000,0.277777778,44.625,133,61,8,Sunday,17.24003306,0
40,09/02/2000,-4.166666667,55.125,115,57,7,Monday,34.95607373,0
41,10/02/2000,1.666666667,74,124,53,11,Tuesday,28.95607373,0
42,11/02/2000,4.166666667,69.5,117,62,13,Wednesday,75.95607373,0
43,12/02/2000,1.111111111,75.625,116,53,10,Thursday,76.95607373,0
44,13/02/2000,1.388888889,71.625,128,70,11,Friday,31.95607373,0
45,14/02/2000,-0.277777778,76.25,119,60,11,Saturday,22.47215493,0
46,15/02/2000,-4.722222222,58.5,115,55,6,Sunday,4.956073737,0
47,16/02/2000,-4.444444444,66.5,107,54,6,Monday,6.956073737,0
48,17/02/2000,-0.277777778,63.125,111,63,6,Tuesday,15.95607374,0
49,18/02/2000,-0.277777778,63.625,116,61,4,Wednesday,19.95607374,0
50,19/02/2000,1.111111111,59.625,115,48,15,Thursday,41.95607373,0
51,20/02/2000,0.277777778,41.5,124,58,6,Friday,67.48931288,0
52,21/02/2000,3.333333333,50.75,119,65,6,Saturday,51.95607373,0
53,22/02/2000,1.944444444,67.375,126,66,12,Sunday,38.95607373,0
54,23/02/2000,1.944444444,64.625,147,74,11,Monday,39.95607373,0
55,24/02/2000,-0.277777778,69.625,118,58,12,Tuesday,40.95607373,0
56,25/02/2000,1.388888889,52.875,138,74,7,Wednesday,40.95607373,0
57,26/02/2000,2.222222222,45,119,61,10,Thursday,27.20442696,0
58,27/02/2000,4.166666667,57.125,100,53,9,Friday,48.95607373,0
59,28/02/2000,4.444444444,94.5,119,65,7,Saturday,23.95607374,0
60,29/02/2000,3.888888889,77.375,123,58,14,Sunday,7.956073737,0
61,01/03/2000,5,55.375,125,64,6,Monday,28.95607373,0
62,02/03/2000,2.5,42.5,124,56,7,Tuesday,24.95607373,0
63,03/03/2000,3.333333333,46.125,113,51,8,Wednesday,38.49162794,0
64,04/03/2000,6.666666667,71.875,125,66,9,Thursday,22.95607374,0
65,05/03/2000,9.166666667,59.375,108,44,8,Friday,68.95607373,0
66,06/03/2000,15.27777778,44.5,114,60,8,Saturday,41.95607373,0
67,07/03/2000,12.5,62.625,109,59,6,Sunday,53.95607373,1
68,08/03/2000,-0.555555556,59.625,126,57,7,Monday,17.95607374,1
69,09/03/2000,-3.611111111,57.25,113,59,5,Tuesday,17.54051725,0
70,10/03/2000,-1.944444444,63.625,112,62,9,Wednesday,30.95607373,0
71,11/03/2000,0.833333333,55.75,125,64,5,Thursday,64.95607373,0
72,12/03/2000,1.111111111,88.75,128,72,9,Friday,39.95607373,0
73,13/03/2000,2.777777778,97.125,106,50,7,Saturday,41.95607373,0
74,14/03/2000,1.666666667,60.75,113,52,10,Sunday,NA,0
75,15/03/2000,3.055555556,41.875,117,68,6,Monday,24.88120038,0
76,16/03/2000,3.611111111,39.5,127,65,11,Tuesday,47.95607373,0
77,17/03/2000,4.166666667,66.625,120,62,13,Wednesday,55.95607373,0
