"","date","temp_mean","HR_mean","total","cvd","resp","dow","pm10_mean.mean","X","holidays","year","males","females","RETI_65.79","RETII_.80","females_RETI_65.79","males_RETI_65.79","females_RETII_.80","males_RETII_.80","white","colored","males_white","males_colored","females_white","females_colored","RETI_65.79_white","RETII_.80_white","RETI_65.79_colored","RETII_.80_colored"
"1",2000-01-01,-0.277777777777778,95.5,130,65,13,"Thursday",26.956073733,1,"1",2000,58,72,20,6,11,9,4,3,110,16,50,7,61,9,17,6,2,1
"2",2000-01-02,0.555555555555556,88.25,150,73,14,"Friday",NA,NA,"0",2000,68,82,22,8,12,10,4,3,128,18,57,8,70,10,19,6,3,1
"3",2000-01-03,0.555555555555556,89.5,101,43,11,"Saturday",32.838694951,NA,"0",2000,45,56,15,5,8,7,3,2,86,12,39,5,47,7,13,4,2,1
"4",2000-01-04,-1.66666666666667,84.5,135,72,7,"Sunday",39.9560737332,NA,"0",2000,61,74,20,7,11,9,4,3,115,16,52,7,63,9,17,6,2,1
"5",2000-01-05,0,74.5,126,64,12,"Monday",NA,NA,"0",2000,57,69,19,6,10,9,3,3,107,15,48,7,59,8,16,5,2,1
"6",2000-01-06,4.44444444444444,77.375,130,63,12,"Tuesday",40.9560737332,NA,"0",2000,58,72,20,6,11,9,4,3,110,16,50,7,61,9,17,6,2,1
"7",2000-01-07,1.38888888888889,74.5,129,72,12,"Wednesday",33.956073733,NA,"0",2000,58,71,19,6,11,9,4,3,110,15,49,7,60,9,16,5,2,1
"8",2000-01-08,-1.66666666666667,77.875,109,51,13,"Thursday",28.956073733,NA,"0",2000,49,60,16,5,9,7,3,2,93,13,42,6,51,7,14,5,2,1
"9",2000-01-09,-3.05555555555556,95.125,125,62,7,"Friday",32.348770798,NA,"0",2000,56,69,19,6,10,8,3,3,106,15,48,7,58,8,16,5,2,1
"10",2000-01-10,0.277777777777778,81.875,153,90,11,"Saturday",NA,NA,"0",2000,69,84,23,8,13,10,4,3,130,18,59,8,72,10,20,7,3,1
"11",2000-01-11,-1.38888888888889,77.25,124,69,5,"Sunday",14.956073737,NA,"0",2000,56,68,19,6,10,8,3,3,105,15,47,7,58,8,16,5,2,1
"12",2000-01-12,1.38888888888889,79,111,57,11,"Monday",18.956073737,NA,"0",2000,50,61,17,6,9,7,3,2,94,13,42,6,52,7,14,5,2,1
"13",2000-01-13,1.11111111111111,74.625,104,50,9,"Tuesday",45.956073733,NA,"0",2000,47,57,16,5,9,7,3,2,88,12,40,6,49,7,13,4,2,1
"14",2000-01-14,3.05555555555556,94.25,118,54,6,"Wednesday",35.9560737332,NA,"0",2000,53,65,18,6,10,8,3,3,100,14,45,6,55,8,15,5,2,1
"15",2000-01-15,0.277777777777778,75.375,109,54,10,"Thursday",26.93720102,NA,"0",2000,49,60,16,5,9,7,3,2,93,13,42,6,51,7,14,5,2,1
"16",2000-01-16,-3.88888888888889,80.75,125,60,11,"Friday",11.956073737,NA,"0",2000,56,69,19,6,10,8,3,3,106,15,48,7,58,8,16,5,2,1
"17",2000-01-17,-2.77777777777778,89.125,128,58,16,"Saturday",NA,NA,"0",2000,58,70,19,6,11,9,4,3,109,15,49,7,60,8,16,5,2,1
"18",2000-01-18,-8.05555555555556,87.25,141,86,8,"Sunday",31.956073733,NA,"0",2000,63,78,21,7,12,10,4,3,120,17,54,8,66,9,18,6,3,1
"19",2000-01-19,-5,70.375,130,74,12,"Monday",24.956073733,NA,"0",2000,58,72,20,6,11,9,4,3,110,16,50,7,61,9,17,6,2,1
"20",2000-01-20,-6.38888888888889,72.125,133,71,9,"Tuesday",30.956073733,NA,"0",2000,60,73,20,7,11,9,4,3,113,16,51,7,62,9,17,6,2,1
"21",2000-01-21,-5.55555555555556,72.75,115,52,10,"Wednesday",31.987965174,NA,"0",2000,52,63,17,6,9,8,3,3,98,14,44,6,54,8,15,5,2,1
"22",2000-01-22,-6.94444444444444,67.75,121,60,10,"Thursday",44.956073733,NA,"0",2000,54,67,18,6,10,8,3,3,103,15,46,7,57,8,15,5,2,1
"23",2000-01-23,-16.3888888888889,50,107,47,7,"Friday",47.956073733,NA,"0",2000,48,59,16,5,9,7,3,2,91,13,41,6,50,7,14,5,2,1
"24",2000-01-24,-16.6666666666667,53.25,123,72,8,"Saturday",30.956073733,NA,"0",2000,55,68,18,6,10,8,3,3,105,15,47,7,58,8,16,5,2,1
"25",2000-01-25,-12.5,47.125,107,43,8,"Sunday",NA,NA,"0",2000,48,59,16,5,9,7,3,2,91,13,41,6,50,7,14,5,2,1
"26",2000-01-26,-8.88888888888889,61.25,116,67,12,"Monday",63.956073733,NA,"0",2000,52,64,17,6,10,8,3,3,99,14,44,6,54,8,15,5,2,1
"27",2000-01-27,-8.05555555555556,84.25,130,73,7,"Tuesday",36.3181462633,NA,"0",2000,58,72,20,6,11,9,4,3,110,16,50,7,61,9,17,6,2,1
"28",2000-01-28,-1.38888888888889,71.375,114,55,9,"Wednesday",39.9560737332,NA,"0",2000,51,63,17,6,9,8,3,3,97,14,44,6,53,8,15,5,2,1
"29",2000-01-29,-1.38888888888889,96.5,123,54,8,"Thursday",27.956073733,NA,"0",2000,55,68,18,6,10,8,3,3,105,15,47,7,58,8,16,5,2,1
"30",2000-01-30,0.277777777777778,68.5,103,50,11,"Friday",51.956073733,NA,"0",2000,46,57,15,5,8,7,3,2,88,12,39,6,48,7,13,4,2,1
"31",2000-01-31,-2.5,76,115,64,5,"Saturday",28.956073733,NA,"0",2000,52,63,17,6,9,8,3,3,98,14,44,6,54,8,15,5,2,1
"32",2000-02-01,5,79.25,127,70,6,"Sunday",NA,NA,"0",2000,57,70,19,6,10,9,3,3,108,15,49,7,59,8,16,5,2,1
"33",2000-02-02,2.5,71.75,131,58,14,"Monday",40.2284865,NA,"0",2000,59,72,20,7,11,9,4,3,111,16,50,7,61,9,17,6,2,1
"34",2000-02-03,1.11111111111111,79.875,112,55,9,"Tuesday",51.956073733,NA,"0",2000,50,62,17,6,9,8,3,3,95,13,43,6,52,7,14,5,2,1
"35",2000-02-04,-0.277777777777778,74.625,126,61,6,"Wednesday",31.319397609,NA,"0",2000,57,69,19,6,10,9,3,3,107,15,48,7,59,8,16,5,2,1
"36",2000-02-05,-1.38888888888889,84.75,127,71,7,"Thursday",62.956073733,NA,"0",2000,57,70,19,6,10,9,3,3,108,15,49,7,59,8,16,5,2,1
"37",2000-02-06,2.77777777777778,69.75,103,48,5,"Friday",55.956073733,NA,"0",2000,46,57,15,5,8,7,3,2,88,12,39,6,48,7,13,4,2,1
"38",2000-02-07,4.72222222222222,71.625,128,67,15,"Saturday",36.9560737332,NA,"0",2000,58,70,19,6,11,9,4,3,109,15,49,7,60,8,16,5,2,1
"39",2000-02-08,0.277777777777778,44.625,133,61,8,"Sunday",17.240033057,NA,"0",2000,60,73,20,7,11,9,4,3,113,16,51,7,62,9,17,6,2,1
"40",2000-02-09,-4.16666666666667,55.125,115,57,7,"Monday",34.9560737332,NA,"0",2000,52,63,17,6,9,8,3,3,98,14,44,6,54,8,15,5,2,1
"41",2000-02-10,1.66666666666667,74,124,53,11,"Tuesday",28.956073733,NA,"0",2000,56,68,19,6,10,8,3,3,105,15,47,7,58,8,16,5,2,1
"42",2000-02-11,4.16666666666667,69.5,117,62,13,"Wednesday",75.956073733,NA,"0",2000,53,64,18,6,10,8,3,3,99,14,45,6,55,8,15,5,2,1
"43",2000-02-12,1.11111111111111,75.625,116,53,10,"Thursday",76.956073733,NA,"0",2000,52,64,17,6,10,8,3,3,99,14,44,6,54,8,15,5,2,1
"44",2000-02-13,1.38888888888889,71.625,128,70,11,"Friday",31.956073733,NA,"0",2000,58,70,19,6,11,9,4,3,109,15,49,7,60,8,16,5,2,1
"45",2000-02-14,-0.277777777777778,76.25,119,60,11,"Saturday",22.472154927,NA,"0",2000,54,65,18,6,10,8,3,3,101,14,46,6,56,8,15,5,2,1
"46",2000-02-15,-4.72222222222222,58.5,115,55,6,"Sunday",4.956073737,NA,"0",2000,52,63,17,6,9,8,3,3,98,14,44,6,54,8,15,5,2,1
"47",2000-02-16,-4.44444444444444,66.5,107,54,6,"Monday",6.956073737,NA,"0",2000,48,59,16,5,9,7,3,2,91,13,41,6,50,7,14,5,2,1
"48",2000-02-17,-0.277777777777778,63.125,111,63,6,"Tuesday",15.956073737,NA,"0",2000,50,61,17,6,9,7,3,2,94,13,42,6,52,7,14,5,2,1
"49",2000-02-18,-0.277777777777778,63.625,116,61,4,"Wednesday",19.956073737,NA,"0",2000,52,64,17,6,10,8,3,3,99,14,44,6,54,8,15,5,2,1
"50",2000-02-19,1.11111111111111,59.625,115,48,15,"Thursday",41.9560737332,NA,"0",2000,52,63,17,6,9,8,3,3,98,14,44,6,54,8,15,5,2,1
"51",2000-02-20,0.277777777777778,41.5,124,58,6,"Friday",67.489312883,NA,"0",2000,56,68,19,6,10,8,3,3,105,15,47,7,58,8,16,5,2,1
"52",2000-02-21,3.33333333333333,50.75,119,65,6,"Saturday",51.956073733,NA,"0",2000,54,65,18,6,10,8,3,3,101,14,46,6,56,8,15,5,2,1
"53",2000-02-22,1.94444444444444,67.375,126,66,12,"Sunday",38.9560737332,NA,"0",2000,57,69,19,6,10,9,3,3,107,15,48,7,59,8,16,5,2,1
"54",2000-02-23,1.94444444444444,64.625,147,74,11,"Monday",39.9560737332,NA,"0",2000,66,81,22,7,12,10,4,3,125,18,56,8,69,10,19,6,3,1
"55",2000-02-24,-0.277777777777778,69.625,118,58,12,"Tuesday",40.9560737332,NA,"0",2000,53,65,18,6,10,8,3,3,100,14,45,6,55,8,15,5,2,1
"56",2000-02-25,1.38888888888889,52.875,138,74,7,"Wednesday",40.9560737332,NA,"0",2000,62,76,21,7,11,9,4,3,117,17,53,7,65,9,18,6,2,1
"57",2000-02-26,2.22222222222222,45,119,61,10,"Thursday",27.204426958,NA,"0",2000,54,65,18,6,10,8,3,3,101,14,46,6,56,8,15,5,2,1
"58",2000-02-27,4.16666666666667,57.125,100,53,9,"Friday",48.956073733,NA,"0",2000,45,55,15,5,8,7,3,2,85,12,38,5,47,7,13,4,2,1
"59",2000-02-28,4.44444444444444,94.5,119,65,7,"Saturday",23.956073737,NA,"0",2000,54,65,18,6,10,8,3,3,101,14,46,6,56,8,15,5,2,1
"60",2000-02-29,3.88888888888889,77.375,123,58,14,"Sunday",7.956073737,NA,"0",2000,55,68,18,6,10,8,3,3,105,15,47,7,58,8,16,5,2,1
"61",2000-03-01,5,55.375,125,64,6,"Monday",28.956073733,NA,"0",2000,56,69,19,6,10,8,3,3,106,15,48,7,58,8,16,5,2,1
"62",2000-03-02,2.5,42.5,124,56,7,"Tuesday",24.956073733,NA,"0",2000,56,68,19,6,10,8,3,3,105,15,47,7,58,8,16,5,2,1
"63",2000-03-03,3.33333333333333,46.125,113,51,8,"Wednesday",38.4916279411,NA,"0",2000,51,62,17,6,9,8,3,3,96,14,43,6,53,7,14,5,2,1
"64",2000-03-04,6.66666666666667,71.875,125,66,9,"Thursday",22.956073737,NA,"0",2000,56,69,19,6,10,8,3,3,106,15,48,7,58,8,16,5,2,1
"65",2000-03-05,9.16666666666667,59.375,108,44,8,"Friday",68.956073733,NA,"0",2000,49,59,16,5,9,7,3,2,92,13,41,6,50,7,14,5,2,1
"66",2000-03-06,15.2777777777778,44.5,114,60,8,"Saturday",41.9560737332,NA,"0",2000,51,63,17,6,9,8,3,3,97,14,44,6,53,8,15,5,2,1
"67",2000-03-07,12.5,62.625,109,59,6,"Sunday",53.956073733,2,"1",2000,49,60,16,5,9,7,3,2,93,13,42,6,51,7,14,5,2,1
"68",2000-03-08,-0.555555555555556,59.625,126,57,7,"Monday",17.956073737,3,"1",2000,57,69,19,6,10,9,3,3,107,15,48,7,59,8,16,5,2,1
"69",2000-03-09,-3.61111111111111,57.25,113,59,5,"Tuesday",17.540517247,NA,"0",2000,51,62,17,6,9,8,3,3,96,14,43,6,53,7,14,5,2,1
"70",2000-03-10,-1.94444444444444,63.625,112,62,9,"Wednesday",30.956073733,NA,"0",2000,50,62,17,6,9,8,3,3,95,13,43,6,52,7,14,5,2,1
"71",2000-03-11,0.833333333333333,55.75,125,64,5,"Thursday",64.956073733,NA,"0",2000,56,69,19,6,10,8,3,3,106,15,48,7,58,8,16,5,2,1
"72",2000-03-12,1.11111111111111,88.75,128,72,9,"Friday",39.9560737332,NA,"0",2000,58,70,19,6,11,9,4,3,109,15,49,7,60,8,16,5,2,1
"73",2000-03-13,2.77777777777778,97.125,106,50,7,"Saturday",41.9560737332,NA,"0",2000,48,58,16,5,9,7,3,2,90,13,41,6,50,7,14,5,2,1
"74",2000-03-14,1.66666666666667,60.75,113,52,10,"Sunday",NA,NA,"0",2000,51,62,17,6,9,8,3,3,96,14,43,6,53,7,14,5,2,1
"75",2000-03-15,3.05555555555556,41.875,117,68,6,"Monday",24.881200376,NA,"0",2000,53,64,18,6,10,8,3,3,99,14,45,6,55,8,15,5,2,1
"76",2000-03-16,3.61111111111111,39.5,127,65,11,"Tuesday",47.956073733,NA,"0",2000,57,70,19,6,10,9,3,3,108,15,49,7,59,8,16,5,2,1
"77",2000-03-17,4.16666666666667,66.625,120,62,13,"Wednesday",55.956073733,NA,"0",2000,54,66,18,6,10,8,3,3,102,14,46,6,56,8,15,5,2,1
"78",2000-03-18,5.27777777777778,59.375,121,56,10,"Thursday",24.956073733,NA,"0",2000,54,67,18,6,10,8,3,3,103,15,46,7,57,8,15,5,2,1
"79",2000-03-19,6.11111111111111,40.125,127,64,5,"Friday",20.956073737,NA,"0",2000,57,70,19,6,10,9,3,3,108,15,49,7,59,8,16,5,2,1
"80",2000-03-20,6.38888888888889,37,120,46,13,"Saturday",32.956073733,NA,"0",2000,54,66,18,6,10,8,3,3,102,14,46,6,56,8,15,5,2,1
"81",2000-03-21,8.88888888888889,53.375,100,53,6,"Sunday",35.8316906508,NA,"0",2000,45,55,15,5,8,7,3,2,85,12,38,5,47,7,13,4,2,1
"82",2000-03-22,11.9444444444444,41.625,125,63,6,"Monday",62.956073733,NA,"0",2000,56,69,19,6,10,8,3,3,106,15,48,7,58,8,16,5,2,1
"83",2000-03-23,14.1666666666667,75,132,73,5,"Tuesday",50.956073733,NA,"0",2000,59,73,20,7,11,9,4,3,112,16,50,7,62,9,17,6,2,1
"84",2000-03-24,7.22222222222222,90.125,134,67,9,"Wednesday",6.956073737,NA,"0",2000,60,74,20,7,11,9,4,3,114,16,51,7,63,9,17,6,2,1
"85",2000-03-25,7.22222222222222,86.625,107,63,6,"Thursday",35.9560737332,NA,"0",2000,48,59,16,5,9,7,3,2,91,13,41,6,50,7,14,5,2,1
"86",2000-03-26,6.11111111111111,78.875,102,57,6,"Friday",39.9560737332,NA,"0",2000,46,56,15,5,8,7,3,2,87,12,39,6,48,7,13,4,2,1
"87",2000-03-27,7.77777777777778,76.75,128,68,2,"Saturday",31.627337621,NA,"0",2000,58,70,19,6,11,9,4,3,109,15,49,7,60,8,16,5,2,1
"88",2000-03-28,4.16666666666667,89.75,101,43,5,"Sunday",29.956073733,NA,"0",2000,45,56,15,5,8,7,3,2,86,12,39,5,47,7,13,4,2,1
"89",2000-03-29,-1.66666666666667,52.75,125,66,13,"Monday",19.956073737,NA,"0",2000,56,69,19,6,10,8,3,3,106,15,48,7,58,8,16,5,2,1
"90",2000-03-30,-1.11111111111111,49.625,106,53,3,"Tuesday",35.9560737332,NA,"0",2000,48,58,16,5,9,7,3,2,90,13,41,6,50,7,14,5,2,1
"91",2000-03-31,5.27777777777778,58.125,119,57,7,"Wednesday",28.956073733,NA,"0",2000,54,65,18,6,10,8,3,3,101,14,46,6,56,8,15,5,2,1
"92",2000-04-01,-1.38888888888889,54.5,91,48,9,"Thursday",36.9560737332,NA,"0",2000,41,50,14,5,8,6,3,2,77,11,35,5,43,6,12,4,2,1
"93",2000-04-02,-2.22222222222222,58,120,53,9,"Friday",19.009422817,NA,"0",2000,54,66,18,6,10,8,3,3,102,14,46,6,56,8,15,5,2,1
"94",2000-04-03,1.94444444444444,37.875,123,54,7,"Saturday",18.956073737,NA,"0",2000,55,68,18,6,10,8,3,3,105,15,47,7,58,8,16,5,2,1
"95",2000-04-04,6.38888888888889,63.625,108,58,5,"Sunday",10.956073737,NA,"0",2000,49,59,16,5,9,7,3,2,92,13,41,6,50,7,14,5,2,1
"96",2000-04-05,10,30.375,117,56,10,"Monday",11.956073737,NA,"0",2000,53,64,18,6,10,8,3,3,99,14,45,6,55,8,15,5,2,1
"97",2000-04-06,9.72222222222222,53.25,134,53,15,"Tuesday",20.956073737,NA,"0",2000,60,74,20,7,11,9,4,3,114,16,51,7,63,9,17,6,2,1
"98",2000-04-07,4.44444444444444,74.25,120,61,6,"Wednesday",11.956073737,NA,"0",2000,54,66,18,6,10,8,3,3,102,14,46,6,56,8,15,5,2,1
"99",2000-04-08,10,31.25,120,55,8,"Thursday",76.348650349,NA,"0",2000,54,66,18,6,10,8,3,3,102,14,46,6,56,8,15,5,2,1
"100",2000-04-09,15.2777777777778,76.25,110,54,7,"Friday",61.956073733,NA,"0",2000,50,61,16,6,9,7,3,2,94,13,42,6,51,7,14,5,2,1
"101",2000-04-10,10.5555555555556,95,111,48,8,"Saturday",16.956073737,NA,"0",2000,50,61,17,6,9,7,3,2,94,13,42,6,52,7,14,5,2,1
"102",2000-04-11,9.72222222222222,78.625,129,60,19,"Sunday",29.956073733,NA,"0",2000,58,71,19,6,11,9,4,3,110,15,49,7,60,9,16,5,2,1
"103",2000-04-12,8.88888888888889,76,93,53,8,"Monday",39.9560737332,NA,"0",2000,42,51,14,5,8,6,3,2,79,11,36,5,43,6,12,4,2,1
"104",2000-04-13,11.3888888888889,96,140,79,7,"Tuesday",25.956073733,NA,"0",2000,63,77,21,7,12,9,4,3,119,17,54,8,65,9,18,6,3,1
"105",2000-04-14,10.8333333333333,96.875,106,54,11,"Wednesday",29.395153167,NA,"0",2000,48,58,16,5,9,7,3,2,90,13,41,6,50,7,14,5,2,1
"106",2000-04-15,12.2222222222222,85.75,110,51,7,"Thursday",19.257751547,NA,"0",2000,50,61,16,6,9,7,3,2,94,13,42,6,51,7,14,5,2,1
"107",2000-04-16,14.1666666666667,62.75,115,64,13,"Friday",35.9560737332,NA,"0",2000,52,63,17,6,9,8,3,3,98,14,44,6,54,8,15,5,2,1
"108",2000-04-17,16.3888888888889,53,106,57,7,"Saturday",98.956073733,NA,"0",2000,48,58,16,5,9,7,3,2,90,13,41,6,50,7,14,5,2,1
"109",2000-04-18,17.7777777777778,57,105,47,9,"Sunday",NA,NA,"0",2000,47,58,16,5,9,7,3,2,89,13,40,6,49,7,13,4,2,1
"110",2000-04-19,21.6666666666667,45.625,120,57,9,"Monday",47.956073733,NA,"0",2000,54,66,18,6,10,8,3,3,102,14,46,6,56,8,15,5,2,1
"111",2000-04-20,13.3333333333333,83.375,97,44,10,"Tuesday",34.5146421453,NA,"0",2000,44,53,15,5,8,7,3,2,82,12,37,5,45,6,12,4,2,1
"112",2000-04-21,8.33333333333333,100,136,73,7,"Wednesday",20.956073737,4,"1",2000,61,75,20,7,11,9,4,3,116,16,52,7,64,9,17,6,2,1
"113",2000-04-22,11.1111111111111,86.875,112,58,4,"Thursday",18.956073737,NA,"0",2000,50,62,17,6,9,8,3,3,95,13,43,6,52,7,14,5,2,1
"114",2000-04-23,9.44444444444444,51.875,108,43,10,"Friday",8.956073737,5,"1",2000,49,59,16,5,9,7,3,2,92,13,41,6,50,7,14,5,2,1
"115",2000-04-24,10.5555555555556,43.5,130,61,7,"Saturday",22.956073737,NA,"0",2000,58,72,20,6,11,9,4,3,110,16,50,7,61,9,17,6,2,1
